Date;OS;apiname;us-east-1;us-west-2;us-west-1;eu-west-1;ap-southeast-1;ap-northeast-1;ap-southeast-2;sa-east-1;
20120718;mswin;hi1.4xlarge ;3.58 ; ; ;3.58 ; ; ;;;
;;;;;;;;;;;
20120622;linux;m1.small ;0.08 ;0.08 ;0.09 ;0.085 ;0.085 ;0.092 ;;0.115;
20120622;linux;m1.medium ;0.16 ;0.16 ;0.18 ;0.17 ;0.17 ;0.184 ;;0.23;
20120622;linux;m1.large ;0.32 ;0.32 ;0.36 ;0.34 ;0.34 ;0.368 ;;0.46;
20120622;linux;m1.xlarge ;0.64 ;0.64 ;0.72 ;0.68 ;0.68 ;0.736 ;;0.92;
20120622;linux;t1.micro ;0.02 ;0.02 ;0.025 ;0.02 ;0.02 ;0.027 ;;0.027;
20120622;linux;m2.xlarge ;0.45 ;0.45 ;0.506 ;0.506 ;0.506 ;0.518 ;;0.68;
20120622;linux;m2.2xlarge ;0.9 ;0.9 ;1.012 ;1.012 ;1.012 ;1.036 ;;1.36;
20120622;linux;m2.4xlarge ;1.8 ;1.8 ;2.024 ;2.024 ;2.024 ;2.072 ;;2.72;
20120622;linux;c1.medium ;0.165 ;0.165 ;0.186 ;0.186 ;0.186 ;0.19 ;;0.23;
20120622;linux;c1.xlarge ;0.66 ;0.66 ;0.744 ;0.744 ;0.744 ;0.76 ;;0.92;
20120622;linux;cc1.4xlarge ;1.3 ; ; ; ; ; ;;;
20120622;linux;cc2.8xlarge ;2.4 ;; ;2.7 ; ; ;;;
20120622;linux;cg1.4xlarge ;2.1 ; ; ;; ; ;;;
20120622;mswin;m1.small ;0.115 ;0.115 ;0.125 ;0.115 ;0.115 ;0.115 ;;0.15;
20120622;mswin;m1.medium ;0.23 ;0.23 ;0.25 ;0.23 ;0.23 ;0.23 ;;0.3;
20120622;mswin;m1.large ;0.46 ;0.46 ;0.5 ;0.46 ;0.46 ;0.46 ;;0.6;
20120622;mswin;m1.xlarge ;0.92 ;0.92 ;1 ;0.92 ;0.92 ;0.92 ;;1.2;
20120622;mswin;t1.micro ;0.02 ;0.02 ;0.035 ;0.035 ;0.02 ;0.035 ;;0.037;
20120622;mswin;m2.xlarge ;0.57 ;0.57 ;0.626 ;0.57 ;0.57 ;0.57 ;;0.8;
20120622;mswin;m2.2xlarge ;1.14 ;1.14 ;1.252 ;1.14 ;1.14 ;1.14 ;;1.6;
20120622;mswin;m2.4xlarge ;2.28 ;2.28 ;2.504 ;2.28 ;2.28 ;2.28 ;;3.2;
20120622;mswin;c1.medium ;0.285 ;0.285 ;0.306 ;0.285 ;0.285 ;0.285 ;;0.35;
20120622;mswin;c1.xlarge ;1.14 ;1.14 ;1.224 ;1.14 ;1.14 ;1.14 ;;1.4;
20120622;mswin;cc1.4xlarge ;1.61 ; ; ; ; ; ;;;
20120622;mswin;cc2.8xlarge ;2.97 ;; ;2.97 ; ; ;;;
20120622;mswin;cg1.4xlarge ;2.6 ; ; ;; ; ;;;
;;;;;;;;;;;
20120307;linux;m1.small ;0.08 ;0.08 ;0.09 ;0.085 ;0.085 ;0.092 ;;0.115;
20120307;linux;m1.medium ;0.16 ;0.16 ;0.18 ;0.17 ;0.17 ;0.184 ;;0.23;
20120307;linux;m1.large ;0.32 ;0.32 ;0.36 ;0.34 ;0.34 ;0.368 ;;0.46;
20120307;linux;m1.xlarge ;0.64 ;0.64 ;0.72 ;0.68 ;0.68 ;0.736 ;;0.92;
20120307;linux;t1.micro ;0.02 ;0.02 ;0.025 ;0.02 ;0.02 ;0.027 ;;0.027;
20120307;linux;m2.xlarge ;0.45 ;0.45 ;0.506 ;0.506 ;0.506 ;0.518 ;;0.68;
20120307;linux;m2.2xlarge ;0.9 ;0.9 ;1.012 ;1.012 ;1.012 ;1.036 ;;1.36;
20120307;linux;m2.4xlarge ;1.8 ;1.8 ;2.024 ;2.024 ;2.024 ;2.072 ;;2.72;
20120307;linux;c1.medium ;0.165 ;0.165 ;0.186 ;0.186 ;0.186 ;0.19 ;;0.23;
20120307;linux;c1.xlarge ;0.66 ;0.66 ;0.744 ;0.744 ;0.744 ;0.76 ;;0.92;
20120307;linux;cc1.4xlarge ;1.3 ; ; ; ; ; ;;;
20120307;linux;cc2.8xlarge ;2.4 ;; ;; ; ;;;
20120307;linux;cg1.4xlarge ;2.1 ; ; ;; ; ;;;
20120307;mswin;m1.small ;0.115 ;0.115 ;0.125 ;0.115 ;0.115 ;0.115 ;;0.15;
20120307;mswin;m1.medium ;0.23 ;0.23 ;0.25 ;0.23 ;0.23 ;0.23 ;;0.3;
20120307;mswin;m1.large ;0.46 ;0.46 ;0.5 ;0.46 ;0.46 ;0.46 ;;0.6;
20120307;mswin;m1.xlarge ;0.92 ;0.92 ;1 ;0.92 ;0.92 ;0.92 ;;1.2;
20120307;mswin;t1.micro ;0.02 ;0.02 ;0.035 ;0.035 ;0.02 ;0.035 ;;0.037;
20120307;mswin;m2.xlarge ;0.57 ;0.57 ;0.626 ;0.57 ;0.57 ;0.57 ;;0.8;
20120307;mswin;m2.2xlarge ;1.14 ;1.14 ;1.252 ;1.14 ;1.14 ;1.14 ;;1.6;
20120307;mswin;m2.4xlarge ;2.28 ;2.28 ;2.504 ;2.28 ;2.28 ;2.28 ;;3.2;
